model_s,tail_num,mfg,model,updated,comment
a575e8,N451AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a399b9,N331CA,BOMBARDIER INC,CL-600-2C10,1464739200,
abbb77,N855RW,,E170,1464739201,Emb.170-100SE
a79821,N589JB,AIRBUS,A320-232,1464739200,
a23fe5,N244LR,BOMBARDIER INC,CL-600-2D24,1466168185,
a4da2b,N411ZW,BOMBARDIER INC,CL-600-2B19,1464739200,
ad6b0f,N964AN,BOEING,737-823,1464739200,
a54312,N438YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
ac8d6a,N908FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
abaafe,N8509U,BOEING,737-8H4,1464739200,
a2925a,N265JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a03cb6,N114SY,EMBRAER,ERJ 170-200 LR,1464739200,
acfd2c,N936NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
ab2140,N816SK,BOMBARDIER INC,CL-600-2D24,1464739200,
ad28ce,N947SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a59f15,N461UA,,A320,1464739201,A320-232
ac756c,N9011P,AIRBUS A319-115,A319,1466992601,AMERICAN AIRLINES
a51425,N426YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a7e145,N607AE,,E145,1464739201,E145
a79ea8,N590NW,BOEING,757-351,1464739200,
a63bf4,N500WR,LEAR,LJ31,1464739201,Learjet 31A
a1ca5f,N214WN,BOEING,B737,1464739201,B737-7H4/W
a716ee,N556NN,BOMBARDIER INC,CL-600-2D24,1464739200,
ac2bb9,N88328,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
ac0ba7,N87527,,B738,1464739201,B738
a83108,N627JB,,A320,1464739201,A320-232
a36994,N319PQ,BOMBARDIER INC,CL-600-2D24,1466168185,
ad0851,N939NN,BOEING,737-823,1464739200,
acba1b,N919WN,BOEING,737-7H4,1464739200,
a5ee51,N481WN,BOEING,737-7H4,1464739200,
ab2c04,N819NN,BOEING,737-823,1464739200,
